core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,esri.arcgis.custom.Type,esri.arcgis.custom.alias,esri.arcgis.custom.defaultValue,esri.arcgis.custom.domain,esri.arcgis.custom.editable,esri.arcgis.custom.modelName,esri.arcgis.custom.nullable,core.Position
arcgis/CHaviation/Airport_Boundaries/0/OBJECTID,OBJECTID,,,,FALSE,esriFieldTypeOID,OBJECTID,,,False,OBJECTID,False,1
arcgis/CHaviation/Airport_Boundaries/0/AIRPORTID,AIRPORTID,,,,FALSE,esriFieldTypeString,AIRPORTID,,,True,AIRPORTID,True,2
arcgis/CHaviation/Airport_Boundaries/0/FACILITY,FACILITY,,,,FALSE,esriFieldTypeString,FACILITY,,,True,FACILITY,True,3
arcgis/CHaviation/Airport_Boundaries/0/MAPLABEL,MAPLABEL,,,,FALSE,esriFieldTypeString,MAPLABEL,,,True,MAPLABEL,True,4
arcgis/CHaviation/Airport_Boundaries/0/CITY,CITY,,,,FALSE,esriFieldTypeString,CITY,,,True,CITY,True,5
arcgis/CHaviation/Airport_Boundaries/0/COUNTY,COUNTY,,,,FALSE,esriFieldTypeString,COUNTY,,,True,COUNTY,True,6
arcgis/CHaviation/Airport_Boundaries/0/FNCTNLCLSS,FNCTNLCLSS,,,,FALSE,esriFieldTypeString,FNCTNLCLSS,,,True,FNCTNLCLSS,True,7
arcgis/CHaviation/Airport_Boundaries/0/STATECLASS,STATECLASS,,,,FALSE,esriFieldTypeString,STATECLASS,,,True,STATECLASS,True,8
arcgis/CHaviation/Airport_Boundaries/0/FAASRVCLVL,FAASRVCLVL,,,,FALSE,esriFieldTypeString,FAASRVCLVL,,,True,FAASRVCLVL,True,9
arcgis/CHaviation/Airport_Boundaries/0/FAASITENO,FAASITENO,,,,FALSE,esriFieldTypeString,FAASITENO,,,True,FAASITENO,True,10
arcgis/CHaviation/Airport_Boundaries/0/DISTRICT,DISTRICT,,,,FALSE,esriFieldTypeSmallInteger,DISTRICT,,,True,DISTRICT,True,11
arcgis/CHaviation/Airport_Boundaries/0/F5010URL,F5010URL,,,,FALSE,esriFieldTypeString,F5010URL,,,True,F5010URL,True,12
