core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference
arcgis/CHaviation,CHaviation,,,,FALSE
arcgis/CHboundary,CHboundary,,,,FALSE
arcgis/CHhighway,CHhighway,,,,FALSE
arcgis/CHhqcore,CHhqcore,,,,FALSE
arcgis/CHhqenvi,CHhqenvi,,,,FALSE
arcgis/CHhqsafe,CHhqsafe,,,,FALSE
arcgis/CHrailroad,CHrailroad,,,,FALSE
arcgis/D12,D12,,,,FALSE
arcgis/D4,D4,,,,FALSE
arcgis/HQMaint,HQMaint,,,,FALSE
arcgis/HQohsip,HQohsip,,,,FALSE
arcgis/HQstatewide,HQstatewide,,,,FALSE
arcgis/RH,RH,,,,FALSE
arcgis/SB1,SB1,,,,FALSE
arcgis/SB1_Test,SB1_Test,,,,FALSE
arcgis/Test,Test,,,,FALSE
arcgis/Utilities,Utilities,,,,FALSE
