core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,esri.arcgis.custom.Copyright,esri.arcgis.custom.geometryType,esri.arcgis.custom.hasArchivedData,esri.arcgis.custom.MaxRecordCount,esri.arcgis.custom.supportedQueryFormats,esri.arcgis.custom.supportsAdvancedQueries,esri.arcgis.custom.supportsStatistics,esri.arcgis.custom.Type,core.technicalDescription
arcgis/CHaviation/Airport_Boundaries/0,Airport Boundaries,"Layer id: 0<br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Boundaries/FeatureServer/0"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Boundaries/FeatureServer/0&source=sd"">ArcGIS Map Link</a>",,,FALSE,"California Department of Transportation (Caltrans), Division of Transportation Planning Aeronautics Program, and Division of Research, Innovation and System Information (DRISI).",esriGeometryPolygon,False,2000,"JSON, geoJSON, PBF",True,True,Feature Layer,"<DIV STYLE=""text-align:Left;""><DIV><DIV><P><SPAN><SPAN>C</SPAN></SPAN><SPAN><SPAN>alifornia Department of Transportation (Caltrans), Division of Transportation Planning, Aeronautics Program provided airport layout drawings with estimated digitized airport property or fence lines with Google Pro images background.</SPAN></SPAN><SPAN><SPAN> </SPAN></SPAN></P><P><SPAN><SPAN>Caltrans Division of Research, Innovation and System Information (DRISI) GIS office digitized the airport boundary lines with Bing Maps Aerial background and built the boundary lines into a GIS polygon feature class. </SPAN></SPAN></P><P><SPAN><SPAN>Generally, Airport Layout Plans do not show complete connected property or fence lines. In many cases the boundary lines were interpreted among the property and fence lines with our best judgment. The airport general information derived from FAA Airport Master Record and Reports with their URL are included in the attribute table.</SPAN></SPAN></P><P><SPAN><SPAN>Airport boundary data is intended for general reference and does not represent official airport property boundary determinations.</SPAN></SPAN></P><P><SPAN /></P></DIV></DIV></DIV>"
arcgis/CHaviation/Airport_Boundaries/0,Airport Boundaries,"Layer id: 0<br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Boundaries/MapServer/0"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Boundaries/MapServer/0&source=sd"">ArcGIS Map Link</a>",,,FALSE,"California Department of Transportation (Caltrans), Division of Transportation Planning Aeronautics Program, and Division of Research, Innovation and System Information (DRISI).",esriGeometryPolygon,False,2000,"JSON, geoJSON, PBF",True,True,Feature Layer,"<DIV STYLE=""text-align:Left;""><DIV><DIV><P><SPAN><SPAN>C</SPAN></SPAN><SPAN><SPAN>alifornia Department of Transportation (Caltrans), Division of Transportation Planning, Aeronautics Program provided airport layout drawings with estimated digitized airport property or fence lines with Google Pro images background.</SPAN></SPAN><SPAN><SPAN> </SPAN></SPAN></P><P><SPAN><SPAN>Caltrans Division of Research, Innovation and System Information (DRISI) GIS office digitized the airport boundary lines with Bing Maps Aerial background and built the boundary lines into a GIS polygon feature class. </SPAN></SPAN></P><P><SPAN><SPAN>Generally, Airport Layout Plans do not show complete connected property or fence lines. In many cases the boundary lines were interpreted among the property and fence lines with our best judgment. The airport general information derived from FAA Airport Master Record and Reports with their URL are included in the attribute table.</SPAN></SPAN></P><P><SPAN><SPAN>Airport boundary data is intended for general reference and does not represent official airport property boundary determinations.</SPAN></SPAN></P><P><SPAN /></P></DIV></DIV></DIV>"
arcgis/CHaviation/Airport_Runways/0,Airport Runways,"Layer id: 0<br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Runways/FeatureServer/0"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Runways/FeatureServer/0&source=sd"">ArcGIS Map Link</a>",,,FALSE,,esriGeometryPolyline,False,2000,"JSON, geoJSON, PBF",True,True,Feature Layer,
arcgis/CHaviation/Airport_Runways/0,Airport Runways,"Layer id: 0<br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Runways/MapServer/0"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Runways/MapServer/0&source=sd"">ArcGIS Map Link</a>",,,FALSE,,esriGeometryPolyline,False,2000,"JSON, geoJSON, PBF",True,True,Feature Layer,
arcgis/CHaviation/AWOS/0,AWOS,"Layer id: 0<br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/AWOS/FeatureServer/0"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/AWOS/FeatureServer/0&source=sd"">ArcGIS Map Link</a>",,,FALSE,California Department of Transportation,esriGeometryPoint,False,2000,"JSON, geoJSON, PBF",True,True,Feature Layer,"<DIV STYLE=""text-align:Left;""><DIV><DIV><P><SPAN>This layer was created from the California Aviation System Plan list of Automated Weather Observation Systems. The upgrades and distribution of Automated Weather Observing Systems (AWOS) Automated Surface Observation Systems (ASOS), and Automated Terminal Information Services (ATIS) in California are a critical part of the State aviation system. Access to localized weather conditions benefit both commercial and General Aviation (GA) operations. Caltrans Division of Aeronautics (Division) is monitoring the expansion and updating of the system with a focus on bringing more of this technology to key airports thereby improving air safety. Also, as AWOS/ASOS technology improves, the use of the hardware for shared uses, such as monitoring remote highways concurrently with remote airports is seen as an essential safety measure for normal as well as emergency response operations. The State is currently researching a cooperative approach to improving the road and aviation automated weather reporting system to support multimodal safety statewide. The expansion of the system through Public Private Partnerships (P3) is also becoming a topic of increasing interest as data and cost sharing strategies among various users becomes more desired, available and practical.</SPAN></P><P><SPAN /></P><P STYLE=""font-weight:bold;""><SPAN>Automated Weather Observation System (AWOS)</SPAN></P><P><SPAN>AWOS is a computer-generated voice which is used to automate the broadcast of the minute-by-minute weather observations. </SPAN></P><P STYLE=""font-weight:bold;""><SPAN><SPAN>Automated Surface Observation System (ASOS)</SPAN></SPAN></P><P><SPAN><SPAN>The ASOS is the primary surface weather observing system of the United States. </SPAN></SPAN></P><P STYLE=""font-weight:bold;""><SPAN>Automatic Terminal Information Service (ATIS)</SPAN></P><P><SPAN>This the continuous broadcast of recorded non-control information which converts selected meteorological data and air traffic control data into human speech. </SPAN></P><P><SPAN /></P></DIV></DIV></DIV>"
arcgis/CHaviation/AWOS/0,AWOS,"Layer id: 0<br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/AWOS/MapServer/0"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/AWOS/MapServer/0&source=sd"">ArcGIS Map Link</a>",,,FALSE,California Department of Transportation,esriGeometryPoint,False,2000,"JSON, geoJSON, PBF",True,True,Feature Layer,"<DIV STYLE=""text-align:Left;""><DIV><DIV><P><SPAN>This layer was created from the California Aviation System Plan list of Automated Weather Observation Systems. The upgrades and distribution of Automated Weather Observing Systems (AWOS) Automated Surface Observation Systems (ASOS), and Automated Terminal Information Services (ATIS) in California are a critical part of the State aviation system. Access to localized weather conditions benefit both commercial and General Aviation (GA) operations. Caltrans Division of Aeronautics (Division) is monitoring the expansion and updating of the system with a focus on bringing more of this technology to key airports thereby improving air safety. Also, as AWOS/ASOS technology improves, the use of the hardware for shared uses, such as monitoring remote highways concurrently with remote airports is seen as an essential safety measure for normal as well as emergency response operations. The State is currently researching a cooperative approach to improving the road and aviation automated weather reporting system to support multimodal safety statewide. The expansion of the system through Public Private Partnerships (P3) is also becoming a topic of increasing interest as data and cost sharing strategies among various users becomes more desired, available and practical.</SPAN></P><P><SPAN /></P><P STYLE=""font-weight:bold;""><SPAN>Automated Weather Observation System (AWOS)</SPAN></P><P><SPAN>AWOS is a computer-generated voice which is used to automate the broadcast of the minute-by-minute weather observations. </SPAN></P><P STYLE=""font-weight:bold;""><SPAN><SPAN>Automated Surface Observation System (ASOS)</SPAN></SPAN></P><P><SPAN><SPAN>The ASOS is the primary surface weather observing system of the United States. </SPAN></SPAN></P><P STYLE=""font-weight:bold;""><SPAN>Automatic Terminal Information Service (ATIS)</SPAN></P><P><SPAN>This the continuous broadcast of recorded non-control information which converts selected meteorological data and air traffic control data into human speech. </SPAN></P><P><SPAN /></P></DIV></DIV></DIV>"
arcgis/CHaviation/Hospital_Heliports/0,Hospital Heliports,"Layer id: 0<br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Hospital_Heliports/FeatureServer/0"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Hospital_Heliports/FeatureServer/0&source=sd"">ArcGIS Map Link</a>",,,FALSE,California Department of Transportation,esriGeometryPoint,False,2000,"JSON, geoJSON, PBF",True,True,Feature Layer,"<DIV STYLE=""text-align:Left;""><DIV><DIV><P><SPAN><SPAN>This Hospital Heliport point layer displays California hospital heliport locations with the links to the heliport info sheets that provide permitted approach paths and other information for all the permitted Hospital Heliports in California. The information will be helpful to emergency planners, helicopter operators, and other users. </SPAN></SPAN></P><P><SPAN>More information can be found at Caltrans Caltrans Division of Transportation Aeronautics Program website at https://dot.ca.gov/programs/transportation-planning/division-of-transportation-planning/aeronautics, or visit Hospital Heliport Heliplates website at </SPAN><A href=""https://heliplates.dot.ca.gov:443/"" STYLE=""text-decoration:underline;""><SPAN>https://heliplates.dot.ca.gov/ </SPAN></A><SPAN>.</SPAN></P></DIV></DIV></DIV>"
arcgis/CHaviation/Hospital_Heliports/0,Hospital Heliports,"Layer id: 0<br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Hospital_Heliports/MapServer/0"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Hospital_Heliports/MapServer/0&source=sd"">ArcGIS Map Link</a>",,,FALSE,California Department of Transportation,esriGeometryPoint,False,2000,"JSON, geoJSON, PBF",True,True,Feature Layer,"<DIV STYLE=""text-align:Left;""><DIV><DIV><P><SPAN><SPAN>This Hospital Heliport point layer displays California hospital heliport locations with the links to the heliport info sheets that provide permitted approach paths and other information for all the permitted Hospital Heliports in California. The information will be helpful to emergency planners, helicopter operators, and other users. </SPAN></SPAN></P><P><SPAN>More information can be found at Caltrans Caltrans Division of Transportation Aeronautics Program website at https://dot.ca.gov/programs/transportation-planning/division-of-transportation-planning/aeronautics, or visit Hospital Heliport Heliplates website at </SPAN><A href=""https://heliplates.dot.ca.gov:443/"" STYLE=""text-decoration:underline;""><SPAN>https://heliplates.dot.ca.gov/ </SPAN></A><SPAN>.</SPAN></P></DIV></DIV></DIV>"
arcgis/CHaviation/Military_Airport/0,Military Airports,"Layer id: 0<br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Military_Airport/FeatureServer/0"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Military_Airport/FeatureServer/0&source=sd"">ArcGIS Map Link</a>",,,FALSE,California Department of Transportation (Caltrans),esriGeometryPoint,False,2000,"JSON, geoJSON, PBF",True,True,Feature Layer,"<DIV STYLE=""text-align:Left;""><DIV><DIV><P STYLE=""margin:0 0 16 0;""><SPAN>This is a point layer of Military Airports currently permitted by the State of California, Department of Transportation (Caltrans), Division of Transportation Planning Aeronautics Program. The attributes include the </SPAN><SPAN><SPAN>airport location, function class, ownership, and the link of Federal Aviation Administration (FAA) site. </SPAN></SPAN><SPAN>FAA website ha</SPAN><SPAN><SPAN>s airport detail information and </SPAN></SPAN><SPAN>master records and reports.</SPAN></P></DIV></DIV></DIV>"
arcgis/CHaviation/Military_Airport/0,Military Airports,"Layer id: 0<br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Military_Airport/MapServer/0"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Military_Airport/MapServer/0&source=sd"">ArcGIS Map Link</a>",,,FALSE,California Department of Transportation (Caltrans),esriGeometryPoint,False,2000,"JSON, geoJSON, PBF",True,True,Feature Layer,"<DIV STYLE=""text-align:Left;""><DIV><DIV><P STYLE=""margin:0 0 16 0;""><SPAN>This is a point layer of Military Airports currently permitted by the State of California, Department of Transportation (Caltrans), Division of Transportation Planning Aeronautics Program. The attributes include the </SPAN><SPAN><SPAN>airport location, function class, ownership, and the link of Federal Aviation Administration (FAA) site. </SPAN></SPAN><SPAN>FAA website ha</SPAN><SPAN><SPAN>s airport detail information and </SPAN></SPAN><SPAN>master records and reports.</SPAN></P></DIV></DIV></DIV>"
