core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,esri.arcgis.custom.Copyright,esri.arcgis.custom.HasVersionedData,esri.arcgis.custom.MaxRecordCount,esri.arcgis.custom.hasArchivedData,esri.arcgis.custom.supportedQueryFormats,esri.arcgis.custom.supportsQueryDataElements,esri.arcgis.custom.type,esri.arcgis.custom.units,core.technicalDescription,esri.arcgis.custom.restServicesLink
arcgis/CHaviation/Airport_Boundaries,CHaviation/Airport_Boundaries,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Boundaries/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Boundaries/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Boundaries/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHaviation/Airport_Runways,CHaviation/Airport_Runways,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Runways/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Runways/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Airport_Runways/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHaviation/AWOS,CHaviation/AWOS,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/AWOS/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/AWOS/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/AWOS/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHaviation/Hospital_Heliports,CHaviation/Hospital_Heliports,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Hospital_Heliports/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Hospital_Heliports/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Hospital_Heliports/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHaviation/Military_Airport,CHaviation/Military_Airport,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Military_Airport/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Military_Airport/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Military_Airport/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHaviation/Public_Airport,CHaviation/Public_Airport,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Public_Airport/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Public_Airport/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHaviation/Public_Airport/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHboundary/Adjusted_Urban_Area,CHboundary/Adjusted_Urban_Area,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Adjusted_Urban_Area/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Adjusted_Urban_Area/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Adjusted_Urban_Area/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriDecimalDegrees,,
arcgis/CHboundary/Assembly_Districts,CHboundary/Assembly_Districts,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Assembly_Districts/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Assembly_Districts/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Assembly_Districts/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHboundary/Caltrans_Regions,CHboundary/Caltrans_Regions,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Caltrans_Regions/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Caltrans_Regions/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Caltrans_Regions/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHboundary/Congressional_Districts,CHboundary/Congressional_Districts,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Congressional_Districts/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Congressional_Districts/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Congressional_Districts/MapServer/query"">ArcGIS Query Link</a",,,FALSE,"U.S. Census Bureau, United States House of Representatives",,2000,,"JSON, geoJSON, PBF",True,,esriMeters,"California 118th Congressional Districts represents the political boundaries for the 118th congressional districts. The official membership is current as of February 1, 2023 (Updated by Caltrans, HQ GIS Branch.) The congressional districts for the 118th Congress (January 2023 to 2025) are the first Congressional Districts base on 2020 Census data. The original data was from the TIGER/Line shapefile. The district membership attributes are sourced from the United States House of Representatives.Public access level: Public",
arcgis/CHboundary/County_Boundaries,CHboundary/County_Boundaries,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Boundaries/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Boundaries/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Boundaries/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHboundary/County_Tiger_Lines,CHboundary/County_Tiger_Lines,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Tiger_Lines/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Tiger_Lines/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Tiger_Lines/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHboundary/District_Tiger_Lines,CHboundary/District_Tiger_Lines,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/District_Tiger_Lines/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/District_Tiger_Lines/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/District_Tiger_Lines/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHboundary/MPO_Boundaries,CHboundary/MPO_Boundaries,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/MPO_Boundaries/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/MPO_Boundaries/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/MPO_Boundaries/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHboundary/RTPA_Boundaries,CHboundary/RTPA_Boundaries,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/RTPA_Boundaries/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/RTPA_Boundaries/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/RTPA_Boundaries/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,"The
 RTPA_2013 polygon feature class provides California Regional 
Transportation Planning Agencies (RTPA) legislative boundaries, 
primarily for regional planning applications.The 
list of California Transportation Planning Agencies is current as of 
February, 2014, provided by Division of Transportation Planning, Office 
of Regional and Interagency Planning.With the exception of Tahoe 
Regional Planning Agency (TRPA*), all of the RTPA boundaries follow 
county boundaries, some RTPA are multi-county. This feature class was 
created primarily based on 2010 Census county lines exclude the islands.*TRPA
 is actually a bi-state agency created by the U.S. Congress and a 
compact between California and Nevada. Federal laws and California and 
Nevada statutes govern it. TRPA is composed of parts of two counties in 
California, El Dorado and Placer, and two counties in Nevada. The 
portions of two California counties outside the Tahoe basin are part of 
the Sacramento Area Council of Governments (SACOG).Reference: CALCOG GUIDE TO REGIONAL PLANNING, AS REVISED BY SB 375 JANUARY 2009.",
arcgis/CHboundary/Senate_Districts,CHboundary/Senate_Districts,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Senate_Districts/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Senate_Districts/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Senate_Districts/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
