Source,Target,Association
$resource,arcgis,core.ResourceParentChild
arcgis,arcgis/CHaviation,esri.arcgis.custom.ServerToFolder
arcgis/CHaviation,arcgis/CHaviation/Airport_Boundaries,esri.arcgis.custom.FolderToFeatureServer
arcgis/CHaviation/Airport_Boundaries,arcgis/CHaviation/Airport_Boundaries/0,esri.arcgis.custom.FeatureServerContainsLayer
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/AIRPORTID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/FACILITY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/MAPLABEL,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/CITY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/COUNTY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/FNCTNLCLSS,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/STATECLASS,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/FAASRVCLVL,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/FAASITENO,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/DISTRICT,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/F5010URL,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/Shape__Area,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/Shape__Length,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation,arcgis/CHaviation/Airport_Boundaries,esri.arcgis.custom.FolderToMapServer
arcgis/CHaviation/Airport_Boundaries,arcgis/CHaviation/Airport_Boundaries/0,esri.arcgis.custom.MapServerContainsLayer
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/AIRPORTID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/FACILITY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/MAPLABEL,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/CITY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/COUNTY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/FNCTNLCLSS,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/STATECLASS,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/FAASRVCLVL,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/FAASITENO,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/DISTRICT,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/F5010URL,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/SHAPE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/SHAPE.STArea(),esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Boundaries/0,arcgis/CHaviation/Airport_Boundaries/0/SHAPE.STLength(),esri.arcgis.custom.LayerContainsField
arcgis/CHaviation,arcgis/CHaviation/Airport_Runways,esri.arcgis.custom.FolderToFeatureServer
arcgis/CHaviation/Airport_Runways,arcgis/CHaviation/Airport_Runways/0,esri.arcgis.custom.FeatureServerContainsLayer
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/FNODE_,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/TNODE_,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/LPOLY_,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/RPOLY_,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/LENGTH,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/AIRP_RW_,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/AIRP_RW_ID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/AP_ID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/NAME,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/DIST,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/CO,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/MAJOR,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/Shape__Length,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation,arcgis/CHaviation/Airport_Runways,esri.arcgis.custom.FolderToMapServer
arcgis/CHaviation/Airport_Runways,arcgis/CHaviation/Airport_Runways/0,esri.arcgis.custom.MapServerContainsLayer
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/FNODE_,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/TNODE_,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/LPOLY_,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/RPOLY_,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/LENGTH,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/AIRP_RW_,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/AIRP_RW_ID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/AP_ID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/NAME,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/DIST,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/CO,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/MAJOR,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/SHAPE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Airport_Runways/0,arcgis/CHaviation/Airport_Runways/0/SHAPE.STLength(),esri.arcgis.custom.LayerContainsField
arcgis/CHaviation,arcgis/CHaviation/AWOS,esri.arcgis.custom.FolderToFeatureServer
arcgis/CHaviation/AWOS,arcgis/CHaviation/AWOS/0,esri.arcgis.custom.FeatureServerContainsLayer
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/COUNTY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/AIRPORT,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/FREQUENCY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/PHONE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/LATITUDE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/LONGITUDE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/FAA_ID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/LATARC,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/LONGARC,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/AWOSTYPE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation,arcgis/CHaviation/AWOS,esri.arcgis.custom.FolderToMapServer
arcgis/CHaviation/AWOS,arcgis/CHaviation/AWOS/0,esri.arcgis.custom.MapServerContainsLayer
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/COUNTY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/AIRPORT,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/FREQUENCY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/PHONE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/LATITUDE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/LONGITUDE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/FAA_ID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/LATARC,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/LONGARC,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/AWOSTYPE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/AWOS/0,arcgis/CHaviation/AWOS/0/SHAPE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation,arcgis/CHaviation/Hospital_Heliports,esri.arcgis.custom.FolderToFeatureServer
arcgis/CHaviation/Hospital_Heliports,arcgis/CHaviation/Hospital_Heliports/0,esri.arcgis.custom.FeatureServerContainsLayer
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/OBJECTID,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/FACILITY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/MAPLABEL,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/CITY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/COUNTY,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/FAACODE,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/FAANUM,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/AGL_FT,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/AGL_M,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/PMTLAT,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/PMTLONG,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/LATDMS,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/LONGDMS,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/LATDMS_D,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/LONGDMS_D,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/URL,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/FILE_NAME,esri.arcgis.custom.LayerContainsField
arcgis/CHaviation,arcgis/CHaviation/Hospital_Heliports,esri.arcgis.custom.FolderToMapServer
arcgis/CHaviation/Hospital_Heliports,arcgis/CHaviation/Hospital_Heliports/0,esri.arcgis.custom.MapServerContainsLayer
arcgis/CHaviation/Hospital_Heliports/0,arcgis/CHaviation/Hospital_Heliports/0/OBJECTID,esri.arcgis.custom.LayerContainsField
