core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference
swagger~petstore~-~openapi~3.0~pet~~pet,/pet,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~findByStatus,/pet/findByStatus,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~findByTags,/pet/findByTags,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId},/pet/{petId},,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage,/pet/{petId}/uploadImage,,,,
swagger~petstore~-~openapi~3.0~store~~store~inventory,/store/inventory,,,,
swagger~petstore~-~openapi~3.0~store~~store~order,/store/order,,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId},/store/order/{orderId},,,,
swagger~petstore~-~openapi~3.0~user~~user,/user,,,,
swagger~petstore~-~openapi~3.0~user~~user~createWithList,/user/createWithList,,,,
swagger~petstore~-~openapi~3.0~user~~user~login,/user/login,,,,
swagger~petstore~-~openapi~3.0~user~~user~logout,/user/logout,,,,
swagger~petstore~-~openapi~3.0~user~~user~{username},/user/{username},,,,
