core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference
swagger~petstore~-~openapi~3.0~pet~~pet~put,PUT,Update an existing pet by Id,,,
swagger~petstore~-~openapi~3.0~pet~~pet~post,POST,Add a new pet to the store,,,
swagger~petstore~-~openapi~3.0~pet~~pet~findByStatus~get,GET,Multiple status values can be provided with comma separated strings,,,
swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get,GET,"Multiple tags can be provided with comma separated strings. Use tag1, tag2, tag3 for testing.",,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get,GET,Returns a single pet,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~post,POST,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~delete,DELETE,delete a pet,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post,POST,,,,
swagger~petstore~-~openapi~3.0~store~~store~inventory~get,GET,Returns a map of status codes to quantities,,,
swagger~petstore~-~openapi~3.0~store~~store~order~post,POST,Place a new order in the store,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get,GET,For valid response try integer IDs with value <= 5 or > 10. Other values will generate exceptions.,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~delete,DELETE,For valid response try integer IDs with value < 1000. Anything above 1000 or nonintegers will generate API errors,,,
swagger~petstore~-~openapi~3.0~user~~user~post,POST,This can only be done by the logged in user.,,,
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post,POST,Creates list of users with given input array,,,
swagger~petstore~-~openapi~3.0~user~~user~login~get,GET,,,,
swagger~petstore~-~openapi~3.0~user~~user~logout~get,GET,,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~get,GET,,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~put,PUT,This can only be done by the logged in user.,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~delete,DELETE,This can only be done by the logged in user.,,,
