core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference
swagger~petstore~-~openapi~3.0~pet~~pet~findByStatus~get~(parameters)~status,status,Status values that need to be considered for filter,,,
swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get~(parameters)~tags,tags,Tags to filter by,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(parameters)~petId,petId,ID of pet to return,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~post~(parameters)~petId,petId,ID of pet that needs to be updated,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~post~(parameters)~name,name,Name of pet that needs to be updated,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~post~(parameters)~status,status,Status of pet that needs to be updated,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~delete~(parameters)~api_key,api_key,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~delete~(parameters)~petId,petId,Pet id to delete,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(parameters)~petId,petId,ID of pet to update,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(parameters)~additionalMetadata,additionalMetadata,Additional Metadata,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(parameters)~orderId,orderId,ID of order that needs to be fetched,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~delete~(parameters)~orderId,orderId,ID of the order that needs to be deleted,,,
swagger~petstore~-~openapi~3.0~user~~user~login~get~(parameters)~username,username,The user name for login,,,
swagger~petstore~-~openapi~3.0~user~~user~login~get~(parameters)~password,password,The password for login in clear text,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(parameters)~username,username,The name that needs to be fetched. Use user1 for testing. ,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~put~(parameters)~username,username,name that need to be deleted,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~delete~(parameters)~username,username,The name that needs to be deleted,,,
