core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,200,Successful operation,,,
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~400,400,Invalid ID supplied,,,
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~404,404,Pet not found,,,
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~422,422,Validation exception,,,
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,200,Successful operation,,,
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~400,400,Invalid input,,,
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~422,422,Validation exception,,,
swagger~petstore~-~openapi~3.0~pet~~pet~findByStatus~get~(responses)~200,200,successful operation,,,
swagger~petstore~-~openapi~3.0~pet~~pet~findByStatus~get~(responses)~400,400,Invalid status value,,,
swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get~(responses)~200,200,successful operation,,,
swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get~(responses)~400,400,Invalid tag value,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,200,successful operation,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~400,400,Invalid ID supplied,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~404,404,Pet not found,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~post~(responses)~400,400,Invalid input,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~delete~(responses)~400,400,Invalid pet value,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200,200,successful operation,,,
swagger~petstore~-~openapi~3.0~store~~store~inventory~get~(responses)~200,200,successful operation,,,
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200,200,successful operation,,,
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~400,400,Invalid input,,,
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~422,422,Validation exception,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200,200,successful operation,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~400,400,Invalid ID supplied,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~404,404,Order not found,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~delete~(responses)~400,400,Invalid ID supplied,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~delete~(responses)~404,404,Order not found,,,
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default,default,successful operation,,,
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200,200,Successful operation,,,
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~default,default,successful operation,,,
swagger~petstore~-~openapi~3.0~user~~user~login~get~(responses)~200,200,successful operation,,,
swagger~petstore~-~openapi~3.0~user~~user~login~get~(responses)~400,400,Invalid username/password supplied,,,
swagger~petstore~-~openapi~3.0~user~~user~logout~get~(responses)~default,default,successful operation,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200,200,successful operation,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~400,400,Invalid username supplied,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~404,404,User not found,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~put~(responses)~default,default,successful operation,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~delete~(responses)~400,400,Invalid username supplied,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~delete~(responses)~404,404,User not found,,,
