core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,custom.openapi.v6.Default,custom.openapi.v6.Example,custom.openapi.v6.Format,custom.openapi.v6.Type
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~id,id,,,,,,10,int64,integer
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~name,name,,,,,,doggie,,string
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~category,category,,,,,,,,object
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~category->id,category->id,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~category->name,category->name,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~photoUrls,photoUrls,,,,,,,,array
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~photoUrls->items,photoUrls->items,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~tags,tags,,,,,,,,array
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~tags->items,tags->items,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~tags->items->id,tags->items->id,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~tags->items->name,tags->items->name,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~status,status,,,,,,,,string
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~id,id,,,,,,10,int64,integer
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~name,name,,,,,,doggie,,string
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~category,category,,,,,,,,object
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~category->id,category->id,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~category->name,category->name,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~photoUrls,photoUrls,,,,,,,,array
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~photoUrls->items,photoUrls->items,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~tags,tags,,,,,,,,array
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~tags->items,tags->items,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~tags->items->id,tags->items->id,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~tags->items->name,tags->items->name,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~status,status,,,,,,,,string
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~id,id,,,,,,10,int64,integer
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~name,name,,,,,,doggie,,string
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~category,category,,,,,,,,object
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~category->id,category->id,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~category->name,category->name,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~photoUrls,photoUrls,,,,,,,,array
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~photoUrls->items,photoUrls->items,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~tags,tags,,,,,,,,array
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~tags->items,tags->items,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~tags->items->id,tags->items->id,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~tags->items->name,tags->items->name,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~status,status,,,,,,,,string
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~code,code,,,,,,,int32,integer
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~,,,,,,,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses)~200~message,message,,,,,,,,string
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~id,id,,,,,,10,int64,integer
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~petId,petId,,,,,,198772,int64,integer
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~quantity,quantity,,,,,,7,int32,integer
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~shipDate,shipDate,,,,,,,date-time,string
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~status,status,,,,,,approved,,string
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses)~200~complete,complete,,,,,,,,boolean
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~id,id,,,,,,10,int64,integer
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~petId,petId,,,,,,198772,int64,integer
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~quantity,quantity,,,,,,7,int32,integer
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~shipDate,shipDate,,,,,,,date-time,string
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~status,status,,,,,,approved,,string
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses)~200~complete,complete,,,,,,,,boolean
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~id,id,,,,,,10,int64,integer
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~username,username,,,,,,theUser,,string
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~firstName,firstName,,,,,,John,,string
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~lastName,lastName,,,,,,James,,string
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~email,email,,,,,,john@email.com,,string
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~password,password,,,,,,12345,,string
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~phone,phone,,,,,,12345,,string
swagger~petstore~-~openapi~3.0~user~~user~post~(responses)~default~userStatus,userStatus,,,,,,1,int32,integer
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~id,id,,,,,,10,int64,integer
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~username,username,,,,,,theUser,,string
