core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~pet~~pet~findByStatus~get~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~post~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~delete~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~store~~store~inventory~get~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~delete~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~user~~user~post~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~user~~user~login~get~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~user~~user~logout~get~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~put~(responses),(responses),The responses used by this API endpoint,,,
swagger~petstore~-~openapi~3.0~user~~user~{username}~delete~(responses),(responses),The responses used by this API endpoint,,,
