Source,Target,Association
$resource,swagger~petstore~-~openapi~3.0,core.ResourceParentChild
swagger~petstore~-~openapi~3.0,swagger~petstore~-~openapi~3.0~pet,custom.openapi.InfoToTag
swagger~petstore~-~openapi~3.0,swagger~petstore~-~openapi~3.0~store,custom.openapi.InfoToTag
swagger~petstore~-~openapi~3.0,swagger~petstore~-~openapi~3.0~user,custom.openapi.InfoToTag
swagger~petstore~-~openapi~3.0~pet,swagger~petstore~-~openapi~3.0~pet~~pet,custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~pet,swagger~petstore~-~openapi~3.0~pet~~pet~findByStatus,custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~pet,swagger~petstore~-~openapi~3.0~pet~~pet~findByTags,custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~pet,swagger~petstore~-~openapi~3.0~pet~~pet~{petId},custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~pet,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage,custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~store,swagger~petstore~-~openapi~3.0~store~~store~inventory,custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~store,swagger~petstore~-~openapi~3.0~store~~store~order,custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~store,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId},custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~user,swagger~petstore~-~openapi~3.0~user~~user,custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~user,swagger~petstore~-~openapi~3.0~user~~user~createWithList,custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~user,swagger~petstore~-~openapi~3.0~user~~user~login,custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~user,swagger~petstore~-~openapi~3.0~user~~user~logout,custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~user,swagger~petstore~-~openapi~3.0~user~~user~{username},custom.openapi.TagToEndpoint
swagger~petstore~-~openapi~3.0~pet~~pet,swagger~petstore~-~openapi~3.0~pet~~pet~put,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~pet~~pet,swagger~petstore~-~openapi~3.0~pet~~pet~post,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~pet~~pet~findByStatus,swagger~petstore~-~openapi~3.0~pet~~pet~findByStatus~get,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~pet~~pet~findByTags,swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~pet~~pet~{petId},swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~pet~~pet~{petId},swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~post,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~pet~~pet~{petId},swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~delete,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~store~~store~inventory,swagger~petstore~-~openapi~3.0~store~~store~inventory~get,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~store~~store~order,swagger~petstore~-~openapi~3.0~store~~store~order~post,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId},swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId},swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~delete,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~user~~user,swagger~petstore~-~openapi~3.0~user~~user~post,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~user~~user~createWithList,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~user~~user~login,swagger~petstore~-~openapi~3.0~user~~user~login~get,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~user~~user~logout,swagger~petstore~-~openapi~3.0~user~~user~logout~get,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~user~~user~{username},swagger~petstore~-~openapi~3.0~user~~user~{username}~get,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~user~~user~{username},swagger~petstore~-~openapi~3.0~user~~user~{username}~put,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~user~~user~{username},swagger~petstore~-~openapi~3.0~user~~user~{username}~delete,custom.openapi.EndpointToMethod
swagger~petstore~-~openapi~3.0~pet~~pet~put,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~pet~~pet~post,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~pet~~pet~findByStatus~get,swagger~petstore~-~openapi~3.0~pet~~pet~findByStatus~get~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get,swagger~petstore~-~openapi~3.0~pet~~pet~findByTags~get~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~post,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~post~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~delete,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~delete~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~uploadImage~post~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~store~~store~inventory~get,swagger~petstore~-~openapi~3.0~store~~store~inventory~get~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~store~~store~order~post,swagger~petstore~-~openapi~3.0~store~~store~order~post~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~get~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~delete,swagger~petstore~-~openapi~3.0~store~~store~order~{orderId}~delete~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~user~~user~post,swagger~petstore~-~openapi~3.0~user~~user~post~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post,swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~user~~user~login~get,swagger~petstore~-~openapi~3.0~user~~user~login~get~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~user~~user~logout~get,swagger~petstore~-~openapi~3.0~user~~user~logout~get~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~user~~user~{username}~get,swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~user~~user~{username}~put,swagger~petstore~-~openapi~3.0~user~~user~{username}~put~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~user~~user~{username}~delete,swagger~petstore~-~openapi~3.0~user~~user~{username}~delete~(responses),custom.openapi.MethodToResponseGroup
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~400,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~404,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~422,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~400,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses),swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~422,custom.openapi.ResponseGroupToResponse
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~name,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~category,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~photoUrls,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~tags,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~put~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~id,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~name,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~category,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~photoUrls,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~tags,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~post~(responses)~200~status,custom.openapi.ResponseToResponseField
swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200,swagger~petstore~-~openapi~3.0~pet~~pet~{petId}~get~(responses)~200~id,custom.openapi.ResponseToResponseField
